2022.05.30 10:50:51 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2022.05.30 10:50:52 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2022.05.30 10:50:52 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2022.05.30 10:50:54 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.0.1.46107 / d32acdb9a65112f50702ab8f09521c7ebe80ead0
2022.05.30 10:50:54 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.05.30 10:50:54 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /home/sakthignanavel/Documents/MATCWorkSpace/MatcAssessmentProject/sonarqube-9.0.1.46107/data
2022.05.30 10:50:54 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.05.30 10:50:54 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2022.05.30 10:50:55 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /home/sakthignanavel/Documents/MATCWorkSpace/MatcAssessmentProject/sonarqube-9.0.1.46107
2022.05.30 10:50:55 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2022.05.30 10:50:56 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.25.0.33663 / b0179674e9c2f72aae6c02a9a432a7b16b9dfef9
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin CSS Code Quality and Security / 1.4.2.2002 / faa7d4f1407df67df7ada53caf677ab783721173
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.6.2.2641 / 11f07506915923b3a0e39e4e34280644c035b925
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.4.0.2754 / 38f7ff864ae15152c9f1efc3014594f7e7ca7b6e
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JaCoCo / 1.1.1.1157 / 83478572b9f23efac29de15e30c7758bbb0c0e47
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Java Code Quality and Security / 7.1.0.26670 / 443133205a173cc74f55c04cc3d5d8a25644538c
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin JavaScript/TypeScript Code Quality and Security / 8.1.0.15788 / 5f6b8aa5acbb10db6a8852860755314fb1532449
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Kotlin Code Quality and Security / 2.0.1.110 / 484b3faa8cbcada38d017045d7faf5438e0b5395
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin PHP Code Quality and Security / 3.17.0.7439 / 44c7760147080c157fa0ff579772f92d3c8e1ebf
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Python Code Quality and Security / 3.5.0.8244 / 7992d2ad600835c9c1a3533f2ede108288e1a1e5
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Ruby Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Scala Code Quality and Security / 1.8.3.2219 / d6ad7a5a47fc4785d2e80918fb7424be46e38a7f
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin VB.NET Code Quality and Security / 8.25.0.33663 / b0179674e9c2f72aae6c02a9a432a7b16b9dfef9
2022.05.30 10:50:56 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin XML Code Quality and Security / 2.2.0.2973 / 16002945f0725643a7b42f090572795dd8b72a0f
2022.05.30 10:50:57 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2022.05.30 10:50:57 INFO  web[][DbMigrations] Executing DB migrations...
2022.05.30 10:50:57 INFO  web[][DbMigrations] #1 'Create initial schema'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=473ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=69ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table': success | time=11ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index': success | time=16ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table': success | time=3ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table': success | time=2ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=7ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=2ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=12ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=2ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] Executed DB migrations: success | time=621ms
